post_id,year,price,beds,word
pre2013_131819,2004,1550,1,beautiful
pre2013_45616,2011,1195,1,beautiful
6368525767,2017,2195,2,beautiful
5247446875,2015,4200,3,beautiful
6488646647,2018,4888,4,beautiful
pre2013_140518,2005,3450,6,beautiful
pre2013_133223,2005,2200,4,beautiful
pre2013_64908,2012,1200,2,beautiful
4600421723,2014,2350,2,beautiful
pre2013_141796,2005,850,1,beautiful
pre2013_116929,2001,2200,3,beautiful
pre2013_140955,2005,1065,1,beautiful
5819629864,2016,2575,2,beautiful
pre2013_129757,2004,1150,2,beautiful
pre2013_138030,2005,850,1,beautiful
4865916509,2015,2100,1,beautiful
pre2013_138179,2005,1000,2,beautiful
pre2013_135757,2005,1395,2,beautiful
4258050796,2013,1895,2,beautiful
pre2013_8179,2011,1350,2,beautiful
pre2013_50643,2012,2900,2,beautiful
5782364074,2016,2295,2,beautiful
pre2013_144617,2005,850,1,beautiful
pre2013_155099,2007,1685,1,beautiful
pre2013_36851,2011,995,1,beautiful
pre2013_121420,2004,2000,3,beautiful
5403576802,2016,1650,0,beautiful
pre2013_139534,2005,850,1,beautiful
6565260273,2018,2595,1,beautiful
5434121572,2016,3095,2,beautiful
pre2013_14428,2012,1000,1,beautiful
pre2013_29067,2011,2300,4,beautiful
5615223609,2016,3150,2,beautiful
pre2013_142868,2005,1800,2,beautiful
5445560230,2016,5195,4,beautiful
pre2013_29094,2011,1995,2,beautiful
pre2013_154730,2007,1475,1,beautiful
pre2013_125604,2004,975,1,beautiful
pre2013_159613,2006,1200,NA,beautiful
pre2013_46363,2011,1225,2,beautiful
pre2013_152977,2006,1100,1,beautiful
5548986358,2016,2975,2,beautiful
5701175438,2016,1999,1,beautiful
pre2013_16877,2012,1900,2,beautiful
5400797172,2016,4888,4,beautiful
pre2013_143142,2005,1300,2,beautiful
pre2013_37715,2011,950,2,beautiful
pre2013_152112,2006,1195,1,beautiful
pre2013_139495,2005,850,1,beautiful
pre2013_71521,2012,4500,4,beautiful
5429264574,2016,1850,1,beautiful
5171375100,2015,2965,1,beautiful
pre2013_138928,2005,975,1,beautiful
pre2013_47833,2012,1200,1,beautiful
pre2013_135859,2005,2000,3,beautiful
pre2013_12816,2012,1875,2,beautiful
pre2013_11901,2011,995,1,beautiful
4667238030,2014,3200,3,beautiful
pre2013_127760,2004,850,1,beautiful
pre2013_120737,2004,1350,NA,beautiful
5517794211,2016,4666,4,beautiful
pre2013_11372,2011,2190,3,beautiful
6370734051,2017,3695,3,beautiful
pre2013_124888,2004,1300,2,beautiful
pre2013_97296,2004,1450,1,beautiful
pre2013_88452,2004,1695,2,beautiful
pre2013_147029,2006,995,0,beautiful
pre2013_100754,2004,1350,1,beautiful
pre2013_130647,2004,1195,1,beautiful
pre2013_102050,2004,1895,2,beautiful
pre2013_90643,2004,2400,3,beautiful
pre2013_102513,2004,1800,1,beautiful
